title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,originalLanguage,publishAt,rating,reviewContext/Meal type,reviewContext/Noise level,reviewContext/Parking,reviewContext/Parking options,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Seating type,reviewContext/Service,reviewContext/Vegetarian options,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,translatedLanguage,visitedIn,reviewImageUrls/2,reviewImageUrls/3,reviewContext/Wait time,reviewImageUrls/4,reviewImageUrls/5,reviewContext/Group size,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewContext/Recommended dishes,reviewContext/Reservation,reviewContext/Dietary restrictions,reviewContext/Kid-friendliness,reviewContext/Special events,reviewContext/Special offers,is_spam,spam_reasons,word_count,char_count
Ding Ji,2,,2022-10-27T13:41:07.743Z,0,黄耀丰,57,True,,,,2 years ago,,,,,,,,,,,,1.0,,ChdDSUhNMG9nS0VJQ0FnSUMtcEptc3J3RRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtcEptc3J3RRAB!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgIC-pJmsrwE%7CCgwI85TqmgYQwM264gI%7C?hl=en,104590221968362664946,https://lh3.googleusercontent.com/a-/ALV-UjUAyEfCHGBgg_kbVwR6NPesomBX3AvtRifh5zBMr_jl7zbSBSMF=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/104590221968362664946?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Ding Ji,4,价钱公道，食物好吃。,2021-10-07T04:21:28.918Z,0,Cm Pang,137,True,,,zh,3 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQ2OWQyWmV3EAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ2OWQyWmV3EAE!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgID69d2Zew%7CCgwIyOv5igYQwKjxtQM%7C?hl=en,102564834557069204619,https://lh3.googleusercontent.com/a-/ALV-UjUvq9aS1erMzpu9skUJmtFYmUJ5gZWtAvoDWU7XcAz2riBtOGA=s1920-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/102564834557069204619?hl=en,"Reasonable price, delicious food.",en,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (10 < 50),1,10
Ding Ji,4,,2021-03-14T10:48:15.990Z,0,Aaron A,26,True,,,,4 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUR5NWF6NEVnEAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR5NWF6NEVnEAE!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgIDy5az4Eg%7CCgwI79O3ggYQ8P2Q2AM%7C?hl=en,111752397455638955453,https://lh3.googleusercontent.com/a/ACg8ocI3KoptVfINWxTmKCWt0y3LYqA-xBihcmko91AYY2J1cRo5zA=s1920-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/111752397455638955453?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Ding Ji,2,,2020-10-03T03:55:19.843Z,0,Muhammad Talhah,27,True,,,,4 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURDMmNuR0d3EAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURDMmNuR0d3EAE!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgIDC2cnGGw%7CCgwIp-zf-wUQyOuqkgM%7C?hl=en,110596059876466026500,https://lh3.googleusercontent.com/a/ACg8ocJlbljmZi_S1kL67mvgUNjdFvnylOOLVNiHglbNADH-zorqhnU=s1920-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/110596059876466026500?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Ding Ji,5,One of the best Noodles ard,2020-09-19T06:36:57.959Z,0,Goh Kek Yeong,168,True,,,en,4 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURDX1BHWjBRRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURDX1BHWjBRRRAB!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgIDC_PGZ0QE%7CCgwIic6W-wUQkNypyQM%7C?hl=en,114060703412600534718,https://lh3.googleusercontent.com/a-/ALV-UjWRi7k7lTZCFqB-yIplcVML8P3R3BqCry_TGG_4kJVcSjm5YM69Ag=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/114060703412600534718?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (6 < 10); Too few characters (27 < 50),6,27
Ding Ji,5,,2020-09-06T05:51:11.728Z,0,吳新發,20,True,,,,4 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNDcDRyeUp3EAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNDcDRyeUp3EAE!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgICCp4ryJw%7CCgwIz_HR-gUQoN6_2wI%7C?hl=en,107201129093658404665,https://lh3.googleusercontent.com/a-/ALV-UjXMszPQS7pvkeKb5wlFJoG1paTX5bIqPOYu9DCBVz8_urlJhww1=s1920-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/107201129093658404665?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Ding Ji,1,,2018-11-27T11:12:28.344Z,0,Kok Peng Toh,22,True,,,,6 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNJeFlma3lBRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNJeFlma3lBRRAB!2m1!1s0x0:0xbb2aacc8041ece94!3m1!1s2@1:CIHM0ogKEICAgICIxYfkyAE%7CCgwInM303wUQmI-epAE%7C?hl=en,106584230858973382022,https://lh3.googleusercontent.com/a/ACg8ocJd8NVM461mANk-BTLlQgv6O41kBINKNBRKTNKbGOPyyUHG9A=s1920-c-rp-mo-ba2-br100,https://www.google.com/maps/contrib/106584230858973382022?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Dragon Seafood 龍海鲜,1,Lady server has a serious attitude problem,2023-01-17T10:53:19.043Z,0,Kevin Chng,100,True,,,en,2 years ago,,,,,,,,,,,2.0,3.0,1.0,ChZDSUhNMG9nS0VJQ0FnSURCMnJYTFBBEAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCMnJYTFBBEAE!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgIDB2rXLPA%7CCgsIn_yZngYQiMrfFA%7C?hl=en,107180704164622440245,https://lh3.googleusercontent.com/a-/ALV-UjU1zBF5b5RHrG_h57FEZDsOrh0woso3SfyIhBkVrNHHllo86Nhi=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/107180704164622440245?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (7 < 10); Too few characters (42 < 50),7,42
Dragon Seafood 龍海鲜,1,"Attitude problem. Looked at menu on top of sign board $5 ( pork rib rice )
Staff collect $6
I asked why. She pointed at the menu on the table. Told me to wait on the spot and not to sit. Apparently there are no table service. Staff was just playing in phone and does not need to serve other customer.

Ok fine. Went for a smoke. Staff just attitude and ask me come collect the food.

Collected the food and saw only two piece of meat.

Good job keep up the good work",2022-12-28T12:48:08.858Z,0,Hal X,2,False,,,en,2 years ago,,Dinner,,,,,,,Dine in,,,,,ChZDSUhNMG9nS0VJQ0FnSUNCc1l5d2RnEAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCc1l5d2RnEAE!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgICBsYywdg%7CCgwIiPawnQYQkK2imQM%7C?hl=en,107778994863151723425,https://lh3.googleusercontent.com/a/ACg8ocKfWy4IymKJJ-q4EXJy2T_z0bJ7vdN5am4gHxPO6cbfybwXkQ=s1920-c-rp-mo-br100,https://www.google.com/maps/contrib/107778994863151723425?hl=en,,,,,,,,,,,,,,,,,,,,,,False,,94,466
Dragon Seafood 龍海鲜,4,,2022-11-27T12:11:12.793Z,0,Sam Khong,2,False,,,en,2 years ago,,Dinner,,Easy to get parking lot,,,,,Dine in,,,,,ChdDSUhNMG9nS0VJQ0FnSUQtbXJmYThRRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtbXJmYThRRRAB!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgID-mrfa8QE%7CCgwI4KeNnAYQ8KGl-gI%7C?hl=en,111480841026127077405,https://lh3.googleusercontent.com/a/ACg8ocL3vXlcu9_zexInel6om7Jz3rX3bcpzkm1gdMfmMwdGOHMRhA=s1920-c-rp-mo-br100,https://www.google.com/maps/contrib/111480841026127077405?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Dragon Seafood 龍海鲜,5,"Food is really good, except that the order taking lady not so friendly. Hidden gem in the West.",2022-11-21T11:53:09.684Z,0,CK,335,True,,,en,2 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQtaE9mTHRnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtaE9mTHRnRRAB!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgID-hOfLtgE%7CCgwIpc3tmwYQgOucxgI%7C?hl=en,106684499913058264145,https://lh3.googleusercontent.com/a-/ALV-UjUeCYw0xQ5-dnw1arT_Nc_gjZe0LWkfffxsEtWhctputZMz_bDU=s1920-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/106684499913058264145?hl=en,,,,,,,,,,,,,,,,,,,,,,False,,18,95
Dragon Seafood 龍海鲜,1,stressful experience... alot choices at same place,2022-11-10T04:38:50.825Z,0,Bin Hao Wong,106,True,,,en,2 years ago,,Lunch,,,,,,,Dine in,,1.0,3.0,1.0,ChZDSUhNMG9nS0VJQ0FnSUMtalp6U1FREAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMtalp6U1FREAE!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgIC-jZzSQQ%7CCgwI2oCymwYQqLHOiQM%7C?hl=en,106497187293400758188,https://lh3.googleusercontent.com/a/ACg8ocK0kZ0Oy7E6DuywZVrWSow6qAoUZjolaGWdtoWll52q-7TyPw=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/106497187293400758188?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (7 < 10),7,50
Dragon Seafood 龍海鲜,5,Reasonable price and great food!,2022-09-17T14:47:36.598Z,0,kenny ng,27,True,,,en,2 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNlcWNyZDNnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNlcWNyZDNnRRAB!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgICeqcrd3gE%7CCgwIiLyXmQYQ-K6hnQI%7C?hl=en,116355094846073526053,https://lh3.googleusercontent.com/a/ACg8ocIskY-XJaKJ38VDn9QSZrK6lTc-qdcoXmLIB2gTOXcn5zqXlw=s1920-c-rp-mo-ba2-br100,https://www.google.com/maps/contrib/116355094846073526053?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (5 < 10); Too few characters (32 < 50),5,32
Dragon Seafood 龍海鲜,5,,2022-03-30T23:57:19.631Z,0,spencer wong,8,False,,,,3 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURXdGZmd3lnRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURXdGZmd3lnRRAB!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgIDWtffwygE%7CCgwI39yTkgYQ8JiVrQI%7C?hl=en,114687462048239531830,https://lh3.googleusercontent.com/a/ACg8ocJejd7PuYziwmyCJVXxgtCjBMHbDIb4dZpGmyAc8IauM9PZtg=s1920-c-rp-mo-br100,https://www.google.com/maps/contrib/114687462048239531830?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (1 < 10); Too few characters (3 < 50); Duplicate of review #3,1,3
Dragon Seafood 龍海鲜,1,"Lousy attitude from staff. Refused to give basic help to recommend dishes.

Items that came were below average and very salty.

No wonder it wasn't well patronised by the lunch crowd when there were only 3 food stalls open.

Pathetic.

Requested no pork or prawns for one dish due to religious reasons but they totally ignored and put those ingredients in anyway. Could hear the chef being informed but

Unprofessional",2022-03-06T05:04:37.934Z,0,Justine D,70,True,,,en,3 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNXc19DQi1nRRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNXc19DQi1nRRAB!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgICWs_CB-gE%7CCgwI5YGRkQYQuJnRvQM%7C?hl=en,102551842578897358287,https://lh3.googleusercontent.com/a/ACg8ocJ6EQDPKoUMq2H-U7ZHVGeeIRBi08n_cDGPTjjYdjNhzKn8lg=s1920-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/102551842578897358287?hl=en,,,,,,,,,,,,,,,,,,,,,,False,,70,418
Dragon Seafood 龍海鲜,1,Tried Hokkien Mee and Mee Hoon not up to my likings but if in a hurry for makan without queue can go ahead,2021-04-07T11:16:21.335Z,0,Subra R,16,True,,,en,4 years ago,,,,,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNLX3Q2djJ3RRAB,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNLX3Q2djJ3RRAB!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgICK_t6v2wE%7CCgwIham2gwYQiK2SoAE%7C?hl=en,110228927745554240933,https://lh3.googleusercontent.com/a/ACg8ocL0H3q0K29oqiJewQS8DlKOdOpgeiOJcli1aUgN0vO4U5GCEH_S=s1920-c-rp-mo-ba2-br100,https://www.google.com/maps/contrib/110228927745554240933?hl=en,,,,,,,,,,,,,,,,,,,,,,False,,23,106
Dragon Seafood 龍海鲜,5,Nice curry fish head!!!,2019-06-27T05:06:39.322Z,0,david yong,4,False,,,en,6 years ago,,,,,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURrX3JXYlN3EAE,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURrX3JXYlN3EAE!2m1!1s0x0:0xedc073a3e738d309!3m1!1s2@1:CIHM0ogKEICAgIDk_rWbSw%7CCgwI353R6AUQkKzemQE%7C?hl=en,100395395329809757100,https://lh3.googleusercontent.com/a/ACg8ocJB5PIkwMRbXHoTBQzAcuP-cGecbOPihcN__ytAljSRMpFlXA=s1920-c-rp-mo-br100,https://www.google.com/maps/contrib/100395395329809757100?hl=en,,,,,,,,,,,,,,,,,,,,,,True,Too few words (4 < 10); Too few characters (23 < 50),4,23
